Algorithm,Size,InputType,Time(us)
QuickSort,10000,Sorted,3297
QuickSort,10000,Sorted,3007
QuickSort,10000,Sorted,3476
QuickSort,10000,Sorted,2297
QuickSort,10000,Reversed,3019
QuickSort,10000,Reversed,3022
QuickSort,10000,Reversed,4413
QuickSort,10000,Reversed,3142
QuickSort,10000,Reversed,3044
QuickSort,100000,Random,44896
QuickSort,100000,Random,44424
QuickSort,100000,Random,45567
QuickSort,100000,Random,43607
QuickSort,100000,Random,43894
QuickSort,100000,Sorted,29510
QuickSort,100000,Sorted,28475
QuickSort,100000,Sorted,29607
QuickSort,100000,Sorted,33474
QuickSort,100000,Sorted,33418
QuickSort,100000,Reversed,38735
QuickSort,100000,Reversed,34482
QuickSort,100000,Reversed,34706
QuickSort,100000,Reversed,32451
QuickSort,100000,Reversed,35584
HeapSort,1000,Random,0
HeapSort,1000,Random,1139
HeapSort,1000,Random,0
HeapSort,1000,Random,0
HeapSort,1000,Random,1008
HeapSort,1000,Sorted,1014
HeapSort,1000,Sorted,0
HeapSort,1000,Sorted,0
HeapSort,1000,Sorted,0
HeapSort,1000,Sorted,1008
HeapSort,1000,Reversed,0
HeapSort,1000,Reversed,1010
HeapSort,1000,Reversed,1159
HeapSort,1000,Reversed,994
HeapSort,1000,Reversed,1001
HeapSort,10000,Random,6462
HeapSort,10000,Random,6001
HeapSort,10000,Random,6322
HeapSort,10000,Random,5505
HeapSort,10000,Random,6145
HeapSort,10000,Sorted,6366
HeapSort,10000,Sorted,5342
HeapSort,10000,Sorted,6318
HeapSort,10000,Sorted,5127
HeapSort,10000,Sorted,6110
HeapSort,10000,Reversed,5223
HeapSort,10000,Reversed,5050
HeapSort,10000,Reversed,4315
HeapSort,10000,Reversed,4169
HeapSort,10000,Reversed,5182
HeapSort,100000,Random,75362
HeapSort,100000,Random,76339
HeapSort,100000,Random,76613
HeapSort,100000,Random,77034
HeapSort,100000,Random,76894
HeapSort,100000,Sorted,64973
HeapSort,100000,Sorted,68051
HeapSort,100000,Sorted,68539
HeapSort,100000,Sorted,65795
HeapSort,100000,Sorted,66879
HeapSort,100000,Reversed,62320
HeapSort,100000,Reversed,61827
HeapSort,100000,Reversed,62924
HeapSort,100000,Reversed,62011
HeapSort,100000,Reversed,63251
STLSort,1000,Random,0
STLSort,1000,Random,0
STLSort,1000,Random,0
STLSort,1000,Random,1071
STLSort,1000,Random,0
STLSort,1000,Sorted,0
STLSort,1000,Sorted,0
STLSort,1000,Sorted,1011
STLSort,1000,Sorted,0
STLSort,1000,Sorted,0
STLSort,1000,Reversed,0
STLSort,1000,Reversed,1037
STLSort,1000,Reversed,0
STLSort,1000,Reversed,0
STLSort,1000,Reversed,1000
STLSort,10000,Random,4520
STLSort,10000,Random,3926
STLSort,10000,Random,3147
STLSort,10000,Random,4539
STLSort,10000,Random,4199
STLSort,10000,Sorted,2013
STLSort,10000,Sorted,2000
STLSort,10000,Sorted,2007
STLSort,10000,Sorted,3000
STLSort,10000,Sorted,2278
STLSort,10000,Reversed,2020
STLSort,10000,Reversed,2211
STLSort,10000,Reversed,2060
STLSort,10000,Reversed,2008
STLSort,10000,Reversed,2272
STLSort,100000,Random,47557
STLSort,100000,Random,47625
STLSort,100000,Random,48980
STLSort,100000,Random,48305
STLSort,100000,Random,48283
STLSort,100000,Sorted,26006
STLSort,100000,Sorted,25622
STLSort,100000,Sorted,25818
STLSort,100000,Sorted,25874
STLSort,100000,Sorted,25694
STLSort,100000,Reversed,23349
STLSort,100000,Reversed,23797
STLSort,100000,Reversed,22930
STLSort,100000,Reversed,24847
STLSort,100000,Reversed,27389
